benchmark,runs,wall_s_var_pct,user_s_var_pct,sys_s_var_pct,cpu_pct_var_pct,max_rss_kb_var_pct
delannoy,10,0.16963528413909731,0.194424085488152,0,0.3027245206861756,1.493966253237012
delannoy_load,30,0.6753149131035701,3.0024981149895686,31.94382824999699,2.7012257871218797,3.1731461903367877
filegen,30,4.718498723507159,1.4814469047813832,25.51249838734923,3.707179149692832,2.26112014328713
filesearch,30,0,0,0,87.49162577354971,1.0563593579928263
filesearch_load,10,0,0,0,0.0,0.0
mmul,30,0.36885555678165904,0.8529061538693268,44.721359549995796,0.4849658602751077,0.4415657314962973
mmul_load,30,0.6821617842796618,5.273715789471407,18.181818181818176,4.991573007638871,0.46453539637822006
nbody,10,0.9049773755656116,1.2616170734376778e-14,0,0.4928550790308205,3.7750217415328873
nbody_load,30,1.300647755328992,7.491566194418824,23.385358667337137,7.816674556690588,0.882368577598041
qap,10,0.29895366218236197,0.36669008125496705,0,0.5025125628140703,3.0019528206653083
qap_load,30,1.2067734080425512,13.258986680833,37.66543669078146,11.630807765731472,4.046700980330573
